fixture_id,season,date,competition,home_team,away_team,home_id,away_id,home_goals,away_goals,home_corners,home_yellow,home_red,home_fouls,home_shots,home_shots_ot,home_possession,home_passes,home_saves,away_corners,away_yellow,away_red,away_fouls,away_shots,away_shots_ot,away_possession,away_passes,away_saves
1153160,2024,2024-03-01,Liga BetPlay,Envigado,Jaguares,1129,1133,2,2,6,3,0,12,14,4,54.0,401,1,3,2,0,13,7,3,46.0,335,2
1153157,2024,2024-03-01,Liga BetPlay,Chico,Deportes Tolima,1132,1142,1,1,1,2,0,16,17,6,65.0,435,1,2,5,0,17,5,2,35.0,240,4
1153151,2024,2024-03-02,Liga BetPlay,Deportivo Cali,Once Caldas,1127,1136,0,1,9,3,0,8,18,6,65.0,408,2,0,6,1,11,11,4,35.0,225,6
1153156,2024,2024-03-02,Liga BetPlay,Millonarios,Internacional de Bogota,1125,1134,1,2,5,3,0,10,15,2,60.0,443,3,6,5,2,11,14,4,40.0,293,1
1153153,2024,2024-03-02,Liga BetPlay,Deportivo Pereira,America de Cali,1462,1138,2,0,5,1,0,4,13,5,56.0,400,4,7,0,1,8,15,4,44.0,304,3
1153154,2024,2024-03-03,Liga BetPlay,Junior,Atletico Nacional,1135,1137,0,0,8,3,0,11,14,5,64.0,517,2,1,5,0,14,9,2,36.0,293,4
1153152,2024,2024-03-03,Liga BetPlay,Bucaramanga,Patriotas,1131,1140,3,0,3,3,0,7,13,7,47.0,371,2,7,3,0,7,10,2,53.0,401,4
1153159,2024,2024-03-03,Liga BetPlay,Independiente Medellin,Águilas Doradas,1128,1144,1,0,5,2,0,15,9,3,61.0,579,2,1,2,1,12,8,2,39.0,367,3
1153155,2024,2024-03-04,Liga BetPlay,Alianza Valledupar,Santa Fe,1141,1139,0,1,5,5,0,10,17,2,68.0,448,1,3,2,2,11,5,2,32.0,221,2
1153158,2024,2024-03-05,Liga BetPlay,Deportivo Pasto,Fortaleza FC,1126,1147,1,0,2,2,0,8,8,2,35.0,279,2,4,2,0,10,8,2,65.0,501,1
1153165,2024,2024-03-08,Liga BetPlay,Águilas Doradas,Junior,1144,1135,0,2,10,5,0,11,18,7,57.0,419,1,3,4,0,12,5,3,43.0,325,7
