home_wins_5,home_draws_5,home_losses_5,home_gf_5,home_ga_5,away_wins_5,away_draws_5,away_losses_5,away_gf_5,away_ga_5,home_home_wins,home_home_draws,home_home_losses,away_away_wins,away_away_draws,away_away_losses,h2h_home_ratio,h2h_draw_ratio,elo_diff,elo_home_expected,home_pts_per_game,away_pts_per_game,result
1,0,2,2,5,2,0,1,6,3,0,0,1,1,0,0,0.45,0.27,-46.99,0.5757,1.0,2.0,1
0,1,2,4,7,1,0,2,4,5,0,0,1,0,0,1,0.45,0.27,-8.0,0.6294,0.3333,1.0,0
0,0,3,2,10,0,1,2,5,9,0,0,1,0,1,0,0.45,0.27,-11.21,0.6251,0.0,0.3333,1
1,2,1,5,5,3,1,0,13,5,1,1,0,1,1,0,0.45,0.27,-65.91,0.5489,1.25,2.5,1
0,1,3,4,9,0,2,2,5,8,0,0,2,0,0,1,0.45,0.27,-21.03,0.6117,0.25,0.5,2
2,0,2,4,6,1,1,2,7,7,2,0,0,1,0,1,0.45,0.27,6.11,0.6481,1.5,1.0,1
2,1,1,8,5,2,1,1,5,5,1,0,0,1,0,1,0.45,0.27,30.61,0.6796,1.75,1.75,2
2,2,0,7,4,1,2,1,5,6,2,0,0,1,0,1,0.45,0.27,45.12,0.6975,2.0,1.25,1
0,1,3,3,10,1,2,1,8,6,0,0,2,0,2,0,0.45,0.27,-84.71,0.522,0.25,1.25,1
1,1,2,2,5,2,0,2,5,5,1,1,0,2,0,0,0.45,0.27,-18.38,0.6154,1.0,1.5,0
1,0,3,6,9,0,1,3,4,9,0,0,2,0,1,0,0.45,0.27,35.48,0.6857,0.75,0.25,0
0,0,3,5,8,0,2,2,1,3,0,0,2,0,0,2,0.45,0.27,-21.35,0.6113,0.0,0.5,0
4,0,0,8,2,1,3,0,7,5,1,0,0,0,1,0,0.45,0.27,72.5,0.7297,3.0,1.5,0
0,2,2,4,8,1,1,2,5,5,0,1,1,0,0,1,0.45,0.27,-19.67,0.6136,0.5,1.0,1
0,1,3,2,8,3,1,0,8,4,0,0,2,1,0,0,0.45,0.27,-98.16,0.5027,0.25,2.5,2
